STATIONS_ID;MESS_DATUM;QN_7;SD_SO;eor
        403;2017010103;   10;  0.00;eor
        403;2017010104;   10;  0.00;eor
        403;2017010105;   10;  0.00;eor
        403;2017010106;   10;  0.00;eor
        403;2017010107;   10;  0.00;eor
        403;2017010108;   10; 11.00;eor
        403;2017010109;   10; 16.00;eor
        403;2017010110;   10; 21.00;eor
        403;2017010111;   10;  9.00;eor
        403;2017010112;   10;  0.00;eor
        403;2017010113;   10;  0.00;eor
        403;2017010114;   10;  0.00;eor
        403;2017010115;   10;  0.00;eor
        403;2017010116;   10;  0.00;eor
        403;2017010117;   10;  0.00;eor
        403;2017010118;   10;  0.00;eor
        403;2017010119;   10;  0.00;eor
        403;2017010120;   10;  0.00;eor
        403;2017010203;   10;  0.00;eor
        403;2017010204;   10;  0.00;eor
        403;2017010205;   10;  0.00;eor
        403;2017010206;   10;  0.00;eor
        403;2017010207;   10;  0.00;eor
        403;2017010208;   10;  0.00;eor
        403;2017010209;   10;  0.00;eor
        403;2017010210;   10;  0.00;eor
        403;2017010211;   10;  0.00;eor
        403;2017010212;   10;  0.00;eor
        403;2017010213;   10;  0.00;eor
        403;2017010214;   10;  0.00;eor
        403;2017010215;   10;  0.00;eor
        403;2017010216;   10;  0.00;eor
        403;2017010217;   10;  0.00;eor
        403;2017010218;   10;  0.00;eor
        403;2017010219;   10;  0.00;eor
        403;2017010220;   10;  0.00;eor
        403;2017010303;   10;  0.00;eor
        403;2017010304;   10;  0.00;eor
        403;2017010305;   10;  0.00;eor
        403;2017010306;   10;  0.00;eor
        403;2017010307;   10;  0.00;eor
        403;2017010308;   10;  0.00;eor
        403;2017010309;   10;  0.00;eor
        403;2017010310;   10;  0.00;eor
        403;2017010311;   10;  0.00;eor
        403;2017010312;   10;  0.00;eor
        403;2017010313;   10;  0.00;eor
        403;2017010314;   10;  0.00;eor
        403;2017010315;   10;  0.00;eor
        403;2017010316;   10;  0.00;eor
        403;2017010317;   10;  0.00;eor
        403;2017010318;   10;  0.00;eor
        403;2017010319;   10;  0.00;eor
        403;2017010320;   10;  0.00;eor
        403;2017010403;   10;  0.00;eor
        403;2017010404;   10;  0.00;eor
        403;2017010405;   10;  0.00;eor
        403;2017010406;   10;  0.00;eor
        403;2017010407;   10;  0.00;eor
        403;2017010408;   10;  0.00;eor
        403;2017010409;   10;  0.00;eor
        403;2017010410;   10;  3.00;eor
        403;2017010411;   10;  1.00;eor
        403;2017010412;   10;  1.00;eor
        403;2017010413;   10; 14.00;eor
        403;2017010414;   10;  0.00;eor
        403;2017010415;   10;  0.00;eor
        403;2017010416;   10;  0.00;eor
        403;2017010417;   10;  0.00;eor
        403;2017010418;   10;  0.00;eor
        403;2017010419;   10;  0.00;eor
        403;2017010420;   10;  0.00;eor
        403;2017010503;   10;  0.00;eor
        403;2017010504;   10;  0.00;eor
        403;2017010505;   10;  0.00;eor
        403;2017010506;   10;  0.00;eor
        403;2017010507;   10;  0.00;eor
        403;2017010508;   10;  0.00;eor
        403;2017010509;   10;  0.00;eor
        403;2017010510;   10;  1.00;eor
        403;2017010511;   10;  8.00;eor
        403;2017010512;   10; 30.00;eor
        403;2017010513;   10; 46.00;eor
        403;2017010514;   10; 29.00;eor
        403;2017010515;   10; 11.00;eor
        403;2017010516;   10;  0.00;eor
        403;2017010517;   10;  0.00;eor
        403;2017010518;   10;  0.00;eor
        403;2017010519;   10;  0.00;eor
        403;2017010520;   10;  0.00;eor
        403;2017010603;   10;  0.00;eor
        403;2017010604;   10;  0.00;eor
        403;2017010605;   10;  0.00;eor
        403;2017010606;   10;  0.00;eor
        403;2017010607;   10;  0.00;eor
        403;2017010608;   10;  8.00;eor
        403;2017010609;   10; 54.00;eor
        403;2017010610;   10; 60.00;eor
        403;2017010611;   10; 57.00;eor
        403;2017010612;   10; 60.00;eor
        403;2017010613;   10; 60.00;eor
        403;2017010614;   10; 60.00;eor
        403;2017010615;   10; 60.00;eor
        403;2017010616;   10; 15.00;eor
        403;2017010617;   10;  0.00;eor
        403;2017010618;   10;  0.00;eor
        403;2017010619;   10;  0.00;eor
        403;2017010620;   10;  0.00;eor
        403;2017010703;   10;  0.00;eor
        403;2017010704;   10;  0.00;eor
        403;2017010705;   10;  0.00;eor
        403;2017010706;   10;  0.00;eor
        403;2017010707;   10;  0.00;eor
        403;2017010708;   10;  0.00;eor
        403;2017010709;   10;  0.00;eor
        403;2017010710;   10;  0.00;eor
        403;2017010711;   10;  0.00;eor
